Gas_age	d13CO2	d13CO2_stdev
47.400	-6.45	0.07
47.500	-6.44	0.07
47.600	-6.43	0.07
47.700	-6.42	0.07
47.800	-6.41	0.07
47.900	-6.41	0.06
48.000	-6.40	0.06
48.100	-6.40	0.06
48.200	-6.40	0.06
48.300	-6.39	0.06
48.400	-6.39	0.06
48.500	-6.39	0.06
48.600	-6.39	0.06
48.700	-6.39	0.06
48.800	-6.39	0.06
48.900	-6.39	0.06
49.000	-6.39	0.06
49.100	-6.39	0.06
49.200	-6.39	0.06
49.300	-6.39	0.06
49.400	-6.39	0.06
49.500	-6.40	0.06
49.600	-6.40	0.06
49.700	-6.40	0.06
49.800	-6.41	0.06
49.900	-6.41	0.06
50.000	-6.42	0.06
50.100	-6.42	0.06
50.200	-6.43	0.06
50.300	-6.43	0.06
50.400	-6.44	0.06
50.500	-6.44	0.06
50.600	-6.45	0.06
50.700	-6.46	0.06
50.800	-6.46	0.06
50.900	-6.47	0.06
51.000	-6.48	0.05
51.100	-6.49	0.05
51.200	-6.49	0.05
51.300	-6.50	0.05
51.400	-6.51	0.05
51.500	-6.52	0.05
51.600	-6.53	0.05
51.700	-6.54	0.05
51.800	-6.54	0.05
51.900	-6.55	0.05
52.000	-6.56	0.05
52.100	-6.57	0.04
52.200	-6.58	0.04
52.300	-6.59	0.04
52.400	-6.60	0.04
52.500	-6.61	0.04
52.600	-6.62	0.04
52.700	-6.63	0.04
52.800	-6.64	0.05
52.900	-6.65	0.05
53.000	-6.65	0.05
53.100	-6.66	0.05
53.200	-6.67	0.05
53.300	-6.68	0.05
53.400	-6.69	0.05
53.500	-6.70	0.05
53.600	-6.71	0.05
53.700	-6.72	0.05
53.800	-6.72	0.05
53.900	-6.73	0.05
54.000	-6.74	0.05
54.100	-6.75	0.04
54.200	-6.75	0.04
54.300	-6.76	0.04
54.400	-6.77	0.04
54.500	-6.78	0.04
54.600	-6.78	0.04
54.700	-6.79	0.04
54.800	-6.80	0.04
54.900	-6.80	0.04
55.000	-6.81	0.04
55.100	-6.82	0.04
55.200	-6.82	0.04
55.300	-6.83	0.04
55.400	-6.83	0.05
55.500	-6.84	0.05
55.600	-6.84	0.05
55.700	-6.85	0.05
55.800	-6.85	0.05
55.900	-6.86	0.05
56.000	-6.86	0.05
56.100	-6.87	0.05
56.200	-6.87	0.05
56.300	-6.88	0.05
56.400	-6.88	0.04
56.500	-6.89	0.04
56.600	-6.89	0.04
56.700	-6.89	0.04
56.800	-6.90	0.04
56.900	-6.90	0.04
57.000	-6.90	0.04
57.100	-6.91	0.04
57.200	-6.91	0.04
57.300	-6.91	0.04
57.400	-6.91	0.04
57.500	-6.91	0.04
57.600	-6.92	0.04
57.700	-6.92	0.04
57.800	-6.92	0.04
57.900	-6.92	0.04
58.000	-6.92	0.04
58.100	-6.92	0.04
58.200	-6.92	0.04
58.300	-6.92	0.04
58.400	-6.92	0.04
58.500	-6.91	0.04
58.600	-6.91	0.04
58.700	-6.91	0.04
58.800	-6.91	0.04
58.900	-6.91	0.04
59.000	-6.91	0.04
59.100	-6.90	0.04
59.200	-6.90	0.04
59.300	-6.90	0.04
59.400	-6.89	0.04
59.500	-6.89	0.04
59.600	-6.89	0.04
59.700	-6.88	0.04
59.800	-6.88	0.04
59.900	-6.88	0.04
60.000	-6.87	0.04
60.100	-6.87	0.04
60.200	-6.86	0.04
60.300	-6.86	0.04
60.400	-6.85	0.04
60.500	-6.85	0.04
60.600	-6.84	0.04
60.700	-6.84	0.04
60.800	-6.83	0.04
60.900	-6.83	0.04
61.000	-6.82	0.04
61.100	-6.81	0.04
61.200	-6.81	0.04
61.300	-6.80	0.04
61.400	-6.79	0.04
61.500	-6.79	0.04
61.600	-6.78	0.04
61.700	-6.77	0.04
61.800	-6.77	0.04
61.900	-6.76	0.04
62.000	-6.75	0.04
62.100	-6.75	0.04
62.200	-6.74	0.04
62.300	-6.73	0.04
62.400	-6.72	0.04
62.500	-6.72	0.04
62.600	-6.71	0.04
62.700	-6.70	0.04
62.800	-6.69	0.04
62.900	-6.69	0.04
63.000	-6.68	0.04
63.100	-6.67	0.04
63.200	-6.66	0.04
63.300	-6.65	0.04
63.400	-6.65	0.04
63.500	-6.64	0.04
63.600	-6.63	0.04
63.700	-6.62	0.05
63.800	-6.62	0.05
63.900	-6.61	0.05
64.000	-6.60	0.05
64.100	-6.59	0.05
64.200	-6.59	0.05
64.300	-6.58	0.05
64.400	-6.57	0.05
64.500	-6.56	0.05
64.600	-6.56	0.05
64.700	-6.55	0.05
64.800	-6.54	0.05
64.900	-6.54	0.05
65.000	-6.53	0.05
65.100	-6.52	0.05
65.200	-6.52	0.05
65.300	-6.51	0.05
